internal_index,national_dex,original,web_icelandic,csv_icelandic,source_icelandic,status
193,193,YANMA,Flugudreki,Flugudreki,Flugudreki,ok
194,194,WOOPER,Fenjapeð,Fenjapeð,Fenjapeð,ok
195,195,QUAGSIRE,Mýrarbolti,Mýrarbolti,Mýrarbolti,ok
196,196,ESPEON,Huginn,Huginn,Huginn,ok
197,197,UMBREON,Myrkurboði,Myrkurboði,Myrkurboði,ok
198,198,MURKROW,Kráklingur,Kráklingur,Kráklingur,ok
199,199,SLOWKING,Sljóannes,Sljóannes,Sljóannes,ok
200,200,MISDREAVUS,Misfari,Misfari,Misfari,ok
201,201,UNOWN,Ófekktur,Ófekktur,Ófekktur,ok
202,202,WOBBUFFET,Þrekfífill,Þrekfífill,Þrekfífill,ok
203,203,GIRAFARIG,Tvíraffi,Tvíraffi,Tvíraffi,ok
204,204,PINECO,Köngulhaus,Köngulhaus,Köngulhaus,ok
205,205,FORRETRESS,Barrvígi,Barrvígi,Barrvígi,ok
206,206,DUNSPARCE,Skottormur,Skottormur,Skottormur,ok
207,207,GLIGAR,Sviffauti,Sviffauti,Sviffauti,ok
208,208,STEELIX,Stálnamaðkur,Stálnamaðkur,Stálnamaðkur,ok
209,209,SNUBBULL,Urriði,Urriði,Urriði,ok
210,210,GRANBULL,Gjammbítur,Gjammbítur,Gjammbítur,ok
211,211,QWILFISH,Ígulhnöttur,Ígulhnöttur,Ígulhnöttur,ok
212,212,SCIZOR,Stálspretta,Stálspretta,Stálspretta,ok
213,213,SHUCKLE,Skriðubúri,Skriðubúri,Skriðubúri,ok
214,214,HERACROSS,Hornuxi,Hornuxi,Hornuxi,ok
215,215,SNEASEL,Slævar,Slævar,Slævar,ok
216,216,TEDDIURSA,Skífuhúnn,Skífuhúnn,Skífuhúnn,ok
217,217,URSARING,Baugbjörn,Baugbjörn,Baugbjörn,ok
218,218,SLUGMA,Letiglóð,Letiglóð,Letiglóð,ok
219,219,MAGCARGO,Kvikuhetta,Kvikuhetta,Kvikuhetta,ok
220,220,SWINUB,Svíli,Svíli,Svíli,ok
221,221,PILOSWINE,Lubbagöltur,Lubbagöltur,Lubbagöltur,ok
222,222,CORSOLA,Kóralsunna,Kóralsunna,Kóralsunna,ok
223,223,REMORAID,Suguggi,Suguggi,Suguggi,ok
224,224,OCTILLERY,Skolkrabbi,Skolkrabbi,Skolkrabbi,ok
225,225,DELIBIRD,Vistberi,Vistberi,Vistberi,ok
226,226,MANTINE,Breiðskata,Breiðskata,Breiðskata,ok
227,227,SKARMORY,Stálki,Stálki,Stálki,ok
228,228,HOUNDOUR,Vítisvargur,Vítisvargur,Vítisvargur,ok
229,229,HOUNDOOM,Helrakki,Helrakki,Helrakki,ok
230,230,KINGDRA,Hylþengill,Hylþengill,Hylþengill,ok
231,231,PHANPY,Fílingur,Fílingur,Fílingur,ok
232,232,DONPHAN,Erkifantur,Erkifantur,Erkifantur,ok
233,233,PORYGON2,Grafíkja 2,Grafíkja 2,Grafíkja 2,ok
234,234,STANTLER,Hvíslhjörtur,Hvíslhjörtur,Hvíslhjörtur,ok
235,235,SMEARGLE,Blikksill,Blikksill,Blikksill,ok
236,236,TYROGUE,Slegill,Slegill,Slegill,ok
237,237,HITMONTOP,Kringluhvirfill,Kringluhvirfill,Kringluhvirfill,ok
238,238,SMOOCHUM,Kosskjass,Kosskjass,Kosskjass,ok
239,239,ELEKID,Straumangi,Straumangi,Straumangi,ok
240,240,MAGBY,Gosögn,Gosögn,Gosögn,ok
241,241,MILTANK,Hnitgeymir,Hnitgeymir,Hnitgeymir,ok
242,242,BLISSEY,Glaumur,Glaumur,Glaumur,ok
243,243,RAIKOU,Þrumuóhm,Þrumuóhm,Þrumuóhm,ok
244,244,ENTEI,Funagarmur,Funagarmur,Funagarmur,ok
245,245,SUICUNE,Lagarvaldur,Lagarvaldur,Lagarvaldur,ok
246,246,LARVITAR,Lirfukríli,Lirfukríli,Lirfukríli,ok
247,247,PUPITAR,Gífurpúpa,Gífurpúpa,Gífurpúpa,ok
248,248,TYRANITAR,Gramjöfur,Gramjöfur,Gramjöfur,ok
249,249,LUGIA,Mardvali,Mardvali,Mardvali,ok
250,250,HO-OH,Glótrana,Glótrana,Glótrana,ok
251,251,CELEBI,Gróðursæll,Gróðursæll,Gróðursæll,ok
277,252,TREECKO,Gekklingur,Gekklingur,Gekklingur,ok
278,253,GROVYLE,Þyrilkemba,Þyrilkemba,Þyrilkemba,ok
279,254,SCEPTILE,Snarpharri,Snarpharri,Snarpharri,ok
280,255,TORCHIC,Glóðungi,Glóðungi,Glóðungi,ok
281,256,COMBUSKEN,Hanaslagur,Hanaslagur,Hanaslagur,ok
282,257,BLAZIKEN,Logaleggur,Logaleggur,Logaleggur,ok
283,258,MUDKIP,Pollapési,Pollapési,Pollapési,ok
284,259,MARSHTOMP,Mýrartraðki,Mýrartraðki,Mýrartraðki,ok
285,260,SWAMPERT,Leðjujötunn,Leðjujötunn,Leðjujötunn,ok
286,261,POOCHYENA,Hvolpbítur,Hvolpbítur,Hvolpbítur,ok
287,262,MIGHTYENA,Úlfúð,Úlfúð,Úlfúð,ok
288,263,ZIGZAGOON,Slynkur,Slynkur,Slynkur,ok
289,264,LINOONE,Beinskeitta,Beinskeitta,Beinskeitta,ok
290,265,WURMPLE,Rassmaðkur,Rassmaðkur,Rassmaðkur,ok
291,266,SILCOON,Reifangi,Reifangi,Reifangi,ok
292,267,BEAUTIFLY,Skrúðildi,Skrúðildi,Skrúðildi,ok
293,268,CASCOON,Hörkupúpa,Hörkupúpa,Hörkupúpa,ok
294,269,DUSTOX,Eiturmölur,Eiturmölur,Eiturmölur,ok
295,270,LOTAD,Flotblað,Flotblað,Flotblað,ok
296,271,LOMBRE,Hrekkjapadda,Hrekkjapadda,Hrekkjapadda,ok
297,272,LUDICOLO,Dansanas,Dansanas,Dansanas,ok
298,273,SEEDOT,Hnetukollur,Hnetukollur,Hnetukollur,ok
299,274,NUZLEAF,Trjálfur,Trjálfur,Trjálfur,ok
300,275,SHIFTRY,Vindvargur,Vindvargur,Vindvargur,ok
301,290,NINCADA,Rótarsuga,Rótarsuga,Rótarsuga,ok
302,291,NINJASK,Þeysifluga,Þeysifluga,Þeysifluga,ok
303,292,SHEDINJA,Ördeyða,Ördeyða,Ördeyða,ok
304,276,TAILLOW,Svölungur,Svölungur,Svölungur,ok
305,277,SWELLOW,Svólsvala,Svólsvala,Svólsvala,ok
306,285,SHROOMISH,Fýlusveppur,Fýlusveppur,Fýlusveppur,ok
307,286,BRELOOM,Teygjusveppur,Teygjusveppur,Teygjusveppur,ok
308,327,SPINDA,Spandla,Spandla,Spandla,ok
309,278,WINGULL,Vængjávur,Vængjávur,Vængjávur,ok
310,279,PELIPPER,Póstíkani,Póstíkani,Póstíkani,ok
311,283,SURSKIT,Pollastiklari,Pollastiklari,Pollastiklari,ok
312,284,MASQUERAIN,Grímumölur,Grímumölur,Grímumölur,ok
313,320,WAILMER,Hafbolti,Hafbolti,Hafbolti,ok
314,321,WAILORD,Hafhveli,Hafhveli,Hafhveli,ok
315,300,SKITTY,Mjálingur,Mjálingur,Mjálingur,ok
316,301,DELCATTY,Fínmjáll,Fínmjáll,Fínmjáll,ok
317,352,KECLEON,Litbrigðir,Litbrigðir,Litbrigðir,ok
318,343,BALTOY,Leirsnúður,Leirsnúður,Leirsnúður,ok
319,344,CLAYDOL,Leirgoð,Leirgoð,Leirgoð,ok
320,299,NOSEPASS,Áttviti,Áttviti,Áttviti,ok
321,324,TORKOAL,Kvikbaka,Kvikbaka,Kvikbaka,ok
322,302,SABLEYE,Smargörður,Smargörður,Smargörður,ok
323,339,BARBOACH,Leirskeggi,Leirskeggi,Leirskeggi,ok
324,340,WHISCASH,Vasskeggur,Vasskeggur,Vasskeggur,ok
325,370,LUVDISC,Hjartahlýri,Hjartahlýri,Hjartahlýri,ok
326,341,CORPHISH,Klóalabbi,Klóalabbi,Klóalabbi,ok
327,342,CRAWDAUNT,Hrellilabbi,Hrellilabbi,Hrellilabbi,ok
328,349,FEEBAS,Ræfill,Ræfill,Ræfill,ok
329,350,MILOTIC,Mílódís,Mílódís,Mílódís,ok
330,318,CARVANHA,Rifkjaftur,Rifkjaftur,Rifkjaftur,ok
331,319,SHARPEDO,Tundurkarl,Tundurkarl,Tundurkarl,ok
332,328,TRAPINCH,Gryfjukjaftur,Gryfjukjaftur,Gryfjukjaftur,ok
333,329,VIBRAVA,Titringur,Titringur,Titringur,ok
334,330,FLYGON,Sandreki,Sandreki,Sandreki,ok
335,296,MAKUHITA,Glímukútur,Glímukútur,Glímukútur,ok
336,297,HARIYAMA,Glímujötunn,Glímujötunn,Glímujötunn,ok
337,309,ELECTRIKE,Neistahvolpur,Neistahvolpur,Neistahvolpur,ok
338,310,MANECTRIC,Rafmakki,Rafmakki,Rafmakki,ok
339,322,NUMEL,Kvika,Kvika,Kvika,ok
340,323,CAMERUPT,Kamelína,Kamelína,Kamelína,ok
341,363,SPHEAL,Kúluselur,Kúluselur,Kúluselur,ok
342,364,SEALEO,Séljón,Séljón,Séljón,ok
343,365,WALREIN,Rostkóngur,Rostkóngur,Rostkóngur,ok
344,331,CACNEA,Spíssþeytir,Spíssþeytir,Spíssþeytir,ok
345,332,CACTURNE,Náttþyrnir,Náttþyrnir,Náttþyrnir,ok
346,361,SNORUNT,Snjókríli,Snjókríli,Snjókríli,ok
347,362,GLALIE,Frostgríma,Frostgríma,Frostgríma,ok
348,337,LUNATONE,Mánateinn,Mánateinn,Mánateinn,ok
349,338,SOLROCK,Sólgrýti,Sólgrýti,Sólgrýti,ok
350,298,AZURILL,Vatnakríli,Vatnakríli,Vatnakríli,ok
351,325,SPOINK,Skoppgrís,Skoppgrís,Skoppgrís,ok
352,326,GRUMPIG,Seiðsvín,Seiðsvín,Seiðsvín,ok
353,311,PLUSLE,Rótari,Rótari,Rótari,ok
354,312,MINUN,Rafari,Rafari,Rafari,ok
355,303,MAWILE,Glefsir,Glefsir,Glefsir,ok
356,307,MEDITITE,Íhugull,Íhugull,Íhugull,ok
357,308,MEDICHAM,Huggarpur,Huggarpur,Huggarpur,ok
358,333,SWABLU,Bláhnoðri,Bláhnoðri,Bláhnoðri,ok
359,334,ALTARIA,Söngvængja,Söngvængja,Söngvængja,ok
360,360,WYNAUT,Kvíkki,Kvíkki,Kvíkki,ok
361,355,DUSKULL,Rökkurkúpa,Rökkurkúpa,Rökkurkúpa,ok
362,356,DUSCLOPS,Myrklópi,Myrklópi,Myrklópi,ok
363,315,ROSELIA,Þyrnirós,Þyrnirós,Þyrnirós,ok
364,287,SLAKOTH,Slappi,Slappi,Slappi,ok
365,288,VIGOROTH,Hamhleypa,Hamhleypa,Hamhleypa,ok
366,289,SLAKING,Slakur,Slakur,Slakur,ok
367,316,GULPIN,Þambi,Þambi,Þambi,ok
368,317,SWALOT,Svelgur,Svelgur,Svelgur,ok
369,357,TROPIUS,Hitabeltingur,Hitabeltingur,Hitabeltingur,ok
370,293,WHISMUR,Pískur,Pískur,Pískur,ok
371,294,LOUDRED,Gargari,Gargari,Gargari,ok
372,295,EXPLOUD,Ærandi,Ærandi,Ærandi,ok
373,366,CLAMPERL,Perluskel,Perluskel,Perluskel,ok
374,367,HUNTAIL,Ginur,Ginur,Ginur,ok
375,368,GOREBYSS,Djúpdís,Djúpdís,Djúpdís,ok
376,359,ABSOL,Váboði,Váboði,Váboði,ok
377,353,SHUPPET,Skuggabrúða,Skuggabrúða,Skuggabrúða,ok
378,354,BANETTE,Bölbrúða,Bölbrúða,Bölbrúða,ok
379,336,SEVIPER,Hjuggormur,Hjuggormur,Hjuggormur,ok
380,335,ZANGOOSE,Klómangur,Klómangur,Klómangur,ok
381,369,RELICANTH,Fornuggi,Fornuggi,Fornuggi,ok
382,304,ARON,Járnlingur,Járnlingur,Járnlingur,ok
383,305,LAIRON,Stálbítur,Stálbítur,Stálbítur,ok
384,306,AGGRON,Stálvargur,Stálvargur,Stálvargur,ok
385,351,CASTFORM,Veðurlíki,Veðurlíki,Veðurlíki,ok
386,313,VOLBEAT,Blysfluga,Blysfluga,Blysfluga,ok
387,314,ILLUMISE,Glóðarfluga,Glóðarfluga,Glóðarfluga,ok
388,345,LILEEP,Steilja,Steilja,Steilja,ok
389,346,CRADILY,Hnilja,Hnilja,Hnilja,ok
390,347,ANORITH,Fornkló,Fornkló,Fornkló,ok
391,348,ARMALDO,Beltisgeir,Beltisgeir,Beltisgeir,ok
392,280,RALTS,Árari,Árari,Árari,ok
393,281,KIRLIA,Áradís,Áradís,Áradís,ok
394,282,GARDEVOIR,Verndardís,Verndardís,Verndardís,ok
395,371,BAGON,Skalladreki,Skalladreki,Skalladreki,ok
396,372,SHELGON,Skeldreki,Skeldreki,Skeldreki,ok
397,373,SALAMENCE,Ógnardreki,Ógnardreki,Ógnardreki,ok
398,374,BELDUM,Bjölluketill,Bjölluketill,Bjölluketill,ok
399,375,METANG,Parketill,Parketill,Parketill,ok
400,376,METAGROSS,Kvartill,Kvartill,Kvartill,ok
401,377,REGIROCK,Steinvörður,Steinvörður,Steinvörður,ok
402,378,REGICE,Ísvörður,Ísvörður,Ísvörður,ok
403,379,REGISTEEL,Stálvörður,Stálvörður,Stálvörður,ok
404,382,KYOGRE,Hafgúa,Hafgúa,Hafgúa,ok
405,383,GROUDON,Surtur,Surtur,Surtur,ok
406,384,RAYQUAZA,Vindhöggur,Vindhöggur,Vindhöggur,ok
407,380,LATIAS,Hilling,Hilling,Hilling,ok
408,381,LATIOS,Vitrun,Vitrun,Vitrun,ok
409,385,JIRACHI,Óskastjarna,Óskastjarna,Óskastjarna,ok
410,386,DEOXYS,Skerðhvati,Skerðhvati,Skerðhvati,ok
411,358,CHIMECHO,Hljómur,Hljómur,Hljómur,ok
,387,Turtwig,,,,not-in-gen3-csv
